listing_id,url,source_discovery,detail_html_captured,description_source,purpose,property_type,price,price_period,currency,bedrooms,bathrooms,area_sqm,location_raw,agency_name,is_verified,date_listed,description_raw,language,compound_name,developer_name,governorate,city,district,finishing_level,delivery_status,delivery_date,sale_type,payment_type,down_payment_amount,down_payment_pct,installment_years,installment_amount,installment_frequency,cash_discount_pct,amenities,floor_number,garden_area_sqm,roof_area_sqm,is_negotiable,price_per_sqm,total_installment_cost
321887295,https://www.bayut.eg/تفاصيل-503989417/العقار.html,algolia,False,,sale,apartment,5700000.0,,EGP,2.0,1.0,90.0,"Egypt, Cairo, New Cairo, Rehab City",Modern Home,False,2026-08-24,,,,,Cairo,New Cairo,Rehab City,,ready,,resale,,,,,,,,"CCTV Security, Completion Year, Balcony or Terrace, Covered parking, Pets Allowed, Security Staff, Electricity Meter, Water Meter, Natural Gas, Elevators in Building, Day Care Center, Waste Disposal, First Aid Medical Center, Service Elevators, Freehold, Broadband Internet, Kids Play Area, Number of Bathrooms, Number of Bedrooms, Maintenance Staff, Laundry Facility, Shared Kitchen, 24 Hours Concierge, Cleaning Services, Total Floors, نظام كاميرات مراقبة, سنة البناء, شرفة أو تراس, مواقف مغطاة للسيارات, مسموح بالحيوانات الاليفة, أمن و حماية, عداد كهرباء, عداد مياه, غاز طبيعي, مصاعد, مركز رعاية أطفال, مكبّ نفايات, مركز للإسعافات الأولية, خدمات المصاعد, التملك الحر, انترنت واسع النطاق, منطقة لعب للأطفال, عدد دورات المياه, عدد الغرف, خدمات صيانة, خدمة غسيل ملابس, مطبخ مشترك, حراسة 24 ساعة, خدمات تنظيف, عدد الطوابق",,,,,63333.333333333336,
321887282,https://www.bayut.eg/تفاصيل-503989396/العقار.html,algolia,False,,sale,apartment,12000000.0,,EGP,3.0,2.0,163.0,"Egypt, Cairo, New Cairo, 5th Settlement, Hyde Park New Cairo Compound",First Move,False,2026-08-24,,,Hyde Park,,Cairo,New Cairo,5th Settlement,,ready,,primary,both,,,,,,,pool,,,,,73619.63190184049,
321887109,https://www.bayut.eg/تفاصيل-503989275/العقار.html,algolia,False,,sale,chalet,15000000.0,,EGP,3.0,2.0,150.0,"Egypt, Matruh, North Coast, Ras Al Hekma, Koun",Egypt Best Properties (EBP),False,2026-08-24,,,,,Matruh,North Coast,Ras Al Hekma,fully finished,ready,,primary,both,,,8.0,,,,balcony,,,,,100000.0,
321887067,https://www.bayut.eg/تفاصيل-503989238/العقار.html,algolia,False,,sale,chalet,7500000.0,,EGP,1.0,1.0,50.0,"Egypt, Matruh, North Coast, Alamein, Marina 5",Falcon Real Estate,False,2026-08-24,,,Marassi,,Matruh,North Coast,Alamein,furnished,ready,,primary,,,,,,,,"Kids Play Area, Sauna, Gym or Health Club, Swimming Pool, Barbeque Area, Day Care Center, First Aid Medical Center, Jacuzzi, Steam Room, Cafeteria or Canteen, منطقة لعب للأطفال, ساونا, صالة رياضية أو نادي صحي, مسبح, مكان مخصص للشواء, مركز رعاية أطفال, مركز للإسعافات الأولية, جاكوزي, غرفة بخار, كافيتيريا",,,,,150000.0,
321887059,https://www.bayut.eg/تفاصيل-503989228/العقار.html,algolia,False,,sale,chalet,13000000.0,,EGP,3.0,2.0,125.0,"Egypt, Matruh, North Coast, Ras Al Hekma, Seashore",Egypt Best Properties (EBP),False,2026-08-24,,,Hyde Park,,Matruh,North Coast,Ras Al Hekma,fully finished,ready,,primary,both,,,,,monthly,,"pool, garden",,,,,104000.0,
321887000,https://www.bayut.eg/تفاصيل-503989178/العقار.html,algolia,False,,sale,chalet,12000000.0,,EGP,3.0,2.0,130.0,"Egypt, Matruh, North Coast, Sidi Abdel Rahman, Bianchi",Egypt Best Properties (EBP),False,2026-08-24,,,,,Matruh,North Coast,Sidi Abdel Rahman,fully finished,ready,,primary,both,,,,,,,garden,,150.0,,,92307.69230769231,
321887005,https://www.bayut.eg/تفاصيل-208802811/العقار.html,algolia,False,,sale,apartment,3100000.0,,EGP,3.0,2.0,160.0,"Egypt, Giza, Hadayek al-Ahram, Gate 4 - Mena",,False,2026-08-24,,,,,Giza,Hadayek al-Ahram,Gate 4 - Mena,,ready,,resale,,,,,,,,"Elevators in Building, Completion Year, Balcony or Terrace, Natural Gas, Landline, مصاعد, سنة البناء, شرفة أو تراس, غاز طبيعي, خط أرضي",,,,,19375.0,
321886866,https://www.bayut.eg/تفاصيل-503989078/العقار.html,algolia,False,,sale,apartment,3900000.0,,EGP,2.0,2.0,139.0,"Egypt, Matruh, North Coast, Alamein, Latin District",First Move,False,2026-08-24,,,Marassi,,Matruh,North Coast,Alamein,fully finished,ready,,primary,installments,,,,,,,pool,,,,,28057.553956834534,
321886859,https://www.bayut.eg/تفاصيل-503989075/العقار.html,algolia,False,,sale,townhouse,15000000.0,,EGP,5.0,3.0,230.0,"Egypt, Cairo, New Cairo, 5th Settlement",Property Hills One 1,False,2026-08-24,,,Lake View,,Cairo,New Cairo,5th Settlement,,ready,,primary,installments,1500000.0,,,,,,"Lawn or Garden, Business Center, Maintenance Staff, 24 Hours Concierge, Day Care Center, Swimming Pool, First Aid Medical Center, حديقة, مركز أعمال, خدمات صيانة, حراسة 24 ساعة, مركز رعاية أطفال, مسبح, مركز للإسعافات الأولية",,,,,65217.391304347824,
321886803,https://www.bayut.eg/تفاصيل-503989036/العقار.html,algolia,False,,sale,chalet,4000000.0,,EGP,2.0,1.0,100.0,"Egypt, Matruh, North Coast, Hammam, Remas",Horizon Real Estate,False,2026-08-24,,,,,Matruh,North Coast,Hammam,,,,primary,installments,400000.0,,,,,,"Balcony or Terrace, Gym or Health Club, Swimming Pool, Sauna, Steam Room, Covered parking, Lawn or Garden, Electricity Meter, Barbeque Area, Day Care Center, First Aid Medical Center, Jacuzzi, Kids Play Area, Cafeteria or Canteen, شرفة أو تراس, صالة رياضية أو نادي صحي, مسبح, ساونا, غرفة بخار, مواقف مغطاة للسيارات, حديقة, عداد كهرباء, مكان مخصص للشواء, مركز رعاية أطفال, مركز للإسعافات الأولية, جاكوزي, منطقة لعب للأطفال, كافيتيريا, pool, garage, garden, sea view, balcony",,,,,40000.0,
